Nome da rua;Freguesia;Código
Rua Artur Oliveira Cardoso;TEIXOSO E SARZEDO;1046
Rua Canto das Escolas;TEIXOSO E SARZEDO;1047
Rua Capitães de Abril;TEIXOSO E SARZEDO;1048
Rua Conceição Pina Calado;TEIXOSO E SARZEDO;1049
Rua Cruz do Cabeço;TEIXOSO E SARZEDO;1050
Rua da Amargura;TEIXOSO E SARZEDO;1051
Rua da Camara;TEIXOSO E SARZEDO;1052
Rua da Estrada Nova;TEIXOSO E SARZEDO;1053
Rua da Fonte da Quelha;TEIXOSO E SARZEDO;1054
Rua da Fonte do Fundo;TEIXOSO E SARZEDO;1055
Rua da Infesta;TEIXOSO E SARZEDO;1056
Rua da Nossa Senhora do Carmo;TEIXOSO E SARZEDO;1057
Rua da Palmeira;TEIXOSO E SARZEDO;1058
Rua da Praça;TEIXOSO E SARZEDO;1059
Rua da República;TEIXOSO E SARZEDO;1060
Rua da Restauração;TEIXOSO E SARZEDO;1061
Rua da Serra;TEIXOSO E SARZEDO;1062
Rua da Várzea;TEIXOSO E SARZEDO;1063
Rua das Amoreiras;TEIXOSO E SARZEDO;1064
Rua das Mimosas;TEIXOSO E SARZEDO;1065
Rua das Moitinhas;TEIXOSO E SARZEDO;1066
Rua de Aljubarrota;TEIXOSO E SARZEDO;1067
Rua de Santo António;TEIXOSO E SARZEDO;1068
Rua de São Marco;TEIXOSO E SARZEDO;1069
Rua de São Pedro;TEIXOSO E SARZEDO;1070
Rua Direita;TEIXOSO E SARZEDO;1071
Rua do Campo da Bola;TEIXOSO E SARZEDO;1072
Rua do Emigrante;TEIXOSO E SARZEDO;1073
Rua do Espirito Santo;TEIXOSO E SARZEDO;1074
Rua do Infantário;TEIXOSO E SARZEDO;1075
Rua do Passal;TEIXOSO E SARZEDO;1076
Rua do Pinhal;TEIXOSO E SARZEDO;1077
Rua do Pio;TEIXOSO E SARZEDO;1078
Rua do Pisco;TEIXOSO E SARZEDO;1079
Rua do Quebra Costa;TEIXOSO E SARZEDO;1080
Rua do Rio Zêzere;TEIXOSO E SARZEDO;1081
Rua do Terreiro;TEIXOSO E SARZEDO;1082
Rua do Tesouro;TEIXOSO E SARZEDO;1083
Rua Dona Felismina Campos Gomes;TEIXOSO E SARZEDO;1084
Rua dos Olivais;TEIXOSO E SARZEDO;1085
Rua dos Pomares;TEIXOSO E SARZEDO;1086
Rua dos Teixos;TEIXOSO E SARZEDO;1087
Rua Dr. António Oliveira e Filho;TEIXOSO E SARZEDO;1088
Rua Dr. Carlos Coelho;TEIXOSO E SARZEDO;1089
Rua Dr. Francisco Garrett;TEIXOSO E SARZEDO;1090
Rua Gago Coutinho;TEIXOSO E SARZEDO;1091
Rua General Carmona;TEIXOSO E SARZEDO;1092
Rua João de Deus;TEIXOSO E SARZEDO;1093
Rua Luís do Vale;TEIXOSO E SARZEDO;1094
Rua Manuel Alçada Padez;TEIXOSO E SARZEDO;1095
Rua Nossa Senhora de Fátima;TEIXOSO E SARZEDO;1096
Rua Nova da Chandeira;TEIXOSO E SARZEDO;1097
Rua Nuno Alvares;TEIXOSO E SARZEDO;1098
Rua Primeiro de Dezembro;TEIXOSO E SARZEDO;1099
Rua Prof. Horácio das Neves;TEIXOSO E SARZEDO;1100
Rua Prof. Filomena Alves Ribeiro;TEIXOSO E SARZEDO;1101
Rua Senhora dos Verdes;TEIXOSO E SARZEDO;1102
Transversal Primeira da Rua do Pisco;TEIXOSO E SARZEDO;1103
Travessa da Fonte Velha;TEIXOSO E SARZEDO;1104
Travessa da Várzea;TEIXOSO E SARZEDO;1105
Travessa de São Marco;TEIXOSO E SARZEDO;1106
Travessa dos Teixos;TEIXOSO E SARZEDO;1107
Travessa Primeira da Rua das Amoreiras;TEIXOSO E SARZEDO;1108
Travessa Segunda da Rua das Amoreiras;TEIXOSO E SARZEDO;1109
Travessa Terceira da Rua das Amoreiras;TEIXOSO E SARZEDO;1110
Acesso a Estacionamento/ Garagens;TORTOSENDO;1111
Acesso a propriedade agrícola/florestal;TORTOSENDO;1112
Acesso a Urbanização do Belo Zêzere;TORTOSENDO;1113
Acesso A23;TORTOSENDO;1114
Acesso ao Cemitério;TORTOSENDO;1115
Acesso Estrada Nacional 18;TORTOSENDO;1116
Avenida 5 de Outubro;TORTOSENDO;1117
Avenida Almeida Garrett;TORTOSENDO;1118
Avenida de São Tiago;TORTOSENDO;1119
Avenida Montes Hermínios;TORTOSENDO;1120
Avenida Viriato;TORTOSENDO;1121
Avenida Viriato - Estrada Nacional 230;TORTOSENDO;1122
Eixo Teixoso-Covilhã-Tortosendo;TORTOSENDO;1123
Estrada da Ladeirinha;TORTOSENDO;1124
Estrada Municipal 513;TORTOSENDO;1125
Estrada Nacional 18;TORTOSENDO;1126
Estrada Nacional 18-4;TORTOSENDO;1127
Estrada Nacional 230;TORTOSENDO;1128
Largo do Calvário;TORTOSENDO;1129
Loteamento Quinta da Claraboia;TORTOSENDO;1130
Parque Industrial do Tortosendo;TORTOSENDO;1131
Ponte Pedrinha;TORTOSENDO;1132
Quinta Maiorais de Cima;TORTOSENDO;1133
Rua 25 de Abril;TORTOSENDO;1134
Rua A - Urbanização Bela Vista;TORTOSENDO;1135
Rua B - Urbanização Bela Vista;TORTOSENDO;1136
Rua da Amoreira;TORTOSENDO;1137
Rua da Calçada;TORTOSENDO;1138
Rua da Fonte;TORTOSENDO;1139
Rua da Fonte da Cal;TORTOSENDO;1140
Rua da Fonte Fria de Cima;TORTOSENDO;1141
Rua da Indústria de Lanifícios;TORTOSENDO;1142
Rua da Machedes;TORTOSENDO;1143
Rua da Morgada;TORTOSENDO;1144
Rua da Nossa Senhora do Rosário;TORTOSENDO;1145
Rua da Nossa Senhora dos Remédios;TORTOSENDO;1146
Rua da Quinta da Estremilda;TORTOSENDO;1147
Rua das Lajes;TORTOSENDO;1148
Rua das Machedes Debaixo;TORTOSENDO;1149
Rua de São José Operário;TORTOSENDO;1150
Rua Direita;TORTOSENDO;1151
Rua do Bairro da Ladeirinha;TORTOSENDO;1152
Rua do Bairro dos Maiorais;TORTOSENDO;1153
Rua do Cabeço;TORTOSENDO;1154
Rua do Cabo da Aldeia;TORTOSENDO;1155
Rua do Calvário;TORTOSENDO;1156
Rua do Campo;TORTOSENDO;1157
Rua do Carvalhal;TORTOSENDO;1158
Rua do Cimo;TORTOSENDO;1159
Rua do Comercio;TORTOSENDO;1160
Rua do Pombal;TORTOSENDO;1161
Rua do Quintal;TORTOSENDO;1162
Rua do Ribeirinho;TORTOSENDO;1163
Rua do Sitio da Parede;TORTOSENDO;1164
Rua do Sitio da Pousada;TORTOSENDO;1165
Rua do Souto Escuro;TORTOSENDO;1166
Rua Dona Maria do Rosário Tavares Proença;TORTOSENDO;1167
Rua dos Loureiros;TORTOSENDO;1168
Rua dos Machedes de Cima;TORTOSENDO;1169
Rua Doutor Boavista Castelo Branco;TORTOSENDO;1170
Rua Engenheiro Duarte Pacheco;TORTOSENDO;1171
Rua Escada do Duque;TORTOSENDO;1172
Rua José Ary dos Santos;TORTOSENDO;1173
Rua Nova do Souto;TORTOSENDO;1174
Rua Nova dos Olivais;TORTOSENDO;1175
Rua Principal B;TORTOSENDO;1176
Rua Principal da Urbanização Bela Vista;TORTOSENDO;1177
Rua Quinta da Guerra;TORTOSENDO;1178
Rua Quinta da Pera Longa;TORTOSENDO;1179
Rua Senhora dos Prazeres;TORTOSENDO;1180
Rua Unidos Futebol Clube;TORTOSENDO;1181
Sítio da Parede do Guerra;TORTOSENDO;1182
Sitio das Courelas;TORTOSENDO;1183
Travessa das Fabricas;TORTOSENDO;1184
Travessa de São José Operário;TORTOSENDO;1185
Travessa de São Tiago;TORTOSENDO;1186
Travessa do Cabeço;TORTOSENDO;1187
Travessa do Carvalhal;TORTOSENDO;1188
Urbanização do Belo Zêzere;TORTOSENDO;1189
Urbanização do Belo Zêzere Rua A;TORTOSENDO;1190
Urbanização do Belo Zêzere Rua B;TORTOSENDO;1191
Urbanização do Belo Zêzere Rua C;TORTOSENDO;1192
Urbanização do Belo Zêzere Rua D;TORTOSENDO;1193
Urbanização do Belo Zêzere Rua E;TORTOSENDO;1194
Urbanização do Belo Zêzere Rua F;TORTOSENDO;1195
Urbanização do Belo Zêzere Rua G;TORTOSENDO;1196
Urbanização do Belo Zêzere Rua H;TORTOSENDO;1197
Urbanização do Belo Zêzere Rua I;TORTOSENDO;1198
Acesso a ETAR;UNHAIS DA SERRA;1199
Acesso a propriedade agrícola/florestal;UNHAIS DA SERRA;1200
Acesso H2O Hotel;UNHAIS DA SERRA;1201
Avenida da Nossa Senhora da Saúde;UNHAIS DA SERRA;1202
Avenida das Termas;UNHAIS DA SERRA;1203
Avenida Primeiro de Maio;UNHAIS DA SERRA;1204
Canada dos Pastores;UNHAIS DA SERRA;1205
Escadarias do Forno;UNHAIS DA SERRA;1206
Estrada da Torre;UNHAIS DA SERRA;1207
Estrada Nacional 339;UNHAIS DA SERRA;1208
Largo 11 de Julho;UNHAIS DA SERRA;1209
Nave de Santo António;UNHAIS DA SERRA;1210
Rua 25 de Abril;UNHAIS DA SERRA;1211
Rua Conde da Covilhã;UNHAIS DA SERRA;1212
Rua da Achada;UNHAIS DA SERRA;1213
Rua da Belavista;UNHAIS DA SERRA;1214
Rua da Fonte;UNHAIS DA SERRA;1215
Rua da Junta de Freguesia;UNHAIS DA SERRA;1216
Rua da Leveda;UNHAIS DA SERRA;1217
Rua da Risca;UNHAIS DA SERRA;1218
Rua das Moutas;UNHAIS DA SERRA;1219
Rua do Bairro Cabeço do Ponto;UNHAIS DA SERRA;1220
Rua do Bairro da Assomada;UNHAIS DA SERRA;1221
Rua do Bairro da Bruxinha;UNHAIS DA SERRA;1222
Rua do Bairro da Terra da Senhora;UNHAIS DA SERRA;1223
Rua do Bairro de São José;UNHAIS DA SERRA;1224
Rua do Bairro dos Barreiros;UNHAIS DA SERRA;1225
Rua do Padre Alfredo dos Santos Marques;UNHAIS DA SERRA;1226
Rua do Porto da Eira;UNHAIS DA SERRA;1227
Rua do Ribeiro;UNHAIS DA SERRA;1228
Rua do Santo Aleixo;UNHAIS DA SERRA;1229
Rua Doutor Amândio M. Leitão;UNHAIS DA SERRA;1230
Rua Fernando J. G. Braga;UNHAIS DA SERRA;1231
Transversal a Estrada Nacional 339;UNHAIS DA SERRA;1232
Via Romana;UNHAIS DA SERRA;1233
Acesso a propriedade agrícola/florestal;VERDELHOS;1234
Beco do Vale;VERDELHOS;1235
Estrada Municipal 501;VERDELHOS;1236
Largo da Boavista;VERDELHOS;1237
Largo da Nossa Senhora do Rosario;VERDELHOS;1238
Largo de Santo António;VERDELHOS;1239
Largo do Terreiro;VERDELHOS;1240
Largo dos Combatentes;VERDELHOS;1241
Largo se Santo António;VERDELHOS;1242
Rua da Amoreira;VERDELHOS;1243
Rua da Boavista;VERDELHOS;1244
Rua da Escola;VERDELHOS;1245
Rua da Fonte;VERDELHOS;1246
Rua da Fonte 25 de Agosto;VERDELHOS;1247
Rua da Pedreira;VERDELHOS;1248
Rua da Ponte;VERDELHOS;1249
Rua da Santa Rainha;VERDELHOS;1250
Rua das Almas;VERDELHOS;1251
Rua das Frabais;VERDELHOS;1252
Rua Direita;VERDELHOS;1253
Rua Direita da Burralheira;VERDELHOS;1254
Rua do Bairro da Rainho Santa Isabel;VERDELHOS;1255
Rua do Carril;VERDELHOS;1256
Rua do Forno;VERDELHOS;1257
Rua do Outeiro;VERDELHOS;1258
Rua do Vale;VERDELHOS;1259
Rua Padre António Lucas de Oliveira;VERDELHOS;1260
Rua Primeiro de Dezembro;VERDELHOS;1261
Sítio do Vale;VERDELHOS;1262
Transversal a estrada M501;VERDELHOS;1263
Travessa da Rua Direita;VERDELHOS;1264
Travessa dos 5;VERDELHOS;1265
